word,count,frequency
about,1226734006,0.999999997868628
other,978481319,0.9999999978664957
which,810514085,0.9999999978643612
their,782849411,0.9999999978622245
there,701170205,0.9999999978600855
first,578161543,0.9999999978579446
would,572644147,0.9999999978558014
these,541003982,0.9999999978536562
click,536746424,0.9999999978515088
price,501651226,0.9999999978493592
state,453104133,0.9999999978472074
email,443949646,0.9999999978450536
world,431934249,0.9999999978428975
music,414028837,0.9999999978407395
after,372948094,0.9999999978385792
video,365410017,0.9999999978364167
where,360468339,0.999999997834252
books,347710184,0.999999997832085
links,339926541,0.9999999978299161
years,337841309,0.999999997827745
order,336631187,0.9999999978255716
items,330505325,0.999999997823396
group,321842984,0.9999999978212184
under,313296421,0.9999999978190386
games,305930896,0.9999999978168563
could,302311431,0.9999999978146723
great,301487430,0.9999999978124858
hotel,297974790,0.9999999978102971
store,291308910,0.9999999978081064
terms,277705910,0.9999999978059133
right,273620358,0.9999999978037182
local,270742935,0.9999999978015208
those,270014141,0.9999999977993212
using,269448880,0.9999999977971195
phone,256643812,0.9999999977949154
forum,254478181,0.9999999977927092
based,252405204,0.999999997790501
black,244690155,0.9999999977882903
check,244491090,0.9999999977860774
index,242826246,0.9999999977838625
being,242783091,0.9999999977816452
women,242520455,0.9999999977794258
today,239271204,0.999999997777204
south,238581133,0.99999999777498
pages,234001114,0.9999999977727541
found,232005894,0.9999999977705256
house,231310420,0.999999997768295
photo,227125249,0.9999999977660623
power,226596368,0.9999999977638272
while,226194991,0.9999999977615899
three,223417394,0.9999999977593503
total,222649459,0.9999999977571086
place,220970235,0.9999999977548646
think,217856550,0.9999999977526184
north,217809513,0.9999999977503697
posts,216822128,0.9999999977481191
media,216432510,0.999999997745866
water,215178488,0.9999999977436107
since,214302926,0.9999999977413532
guide,213378807,0.9999999977390934
board,212361059,0.9999999977368315
white,209863729,0.9999999977345673
small,208371878,0.9999999977323006
times,202950880,0.9999999977300318
sites,202755734,0.9999999977277607
level,202563642,0.9999999977254872
hours,198242904,0.9999999977232117
image,197874283,0.9999999977209337
title,196676017,0.9999999977186536
shall,191963867,0.9999999977163709
class,191087771,0.9999999977140863
still,190433487,0.9999999977117993
money,190205072,0.9999999977095098
every,189325890,0.9999999977072183
visit,187062316,0.9999999977049243
tools,185555874,0.9999999977026282
reply,184777992,0.9999999977003295
value,182061247,0.9999999976980287
press,179652730,0.9999999976957257
learn,179428286,0.9999999976934202
print,178250872,0.9999999976911125
stock,176295589,0.9999999976888023
point,175527859,0.99999999768649
sales,173244220,0.9999999976841754
large,165863763,0.9999999976818583
table,165341452,0.9999999976795391
start,161913408,0.9999999976772174
model,161205740,0.9999999976748934
human,160573748,0.9999999976725673
movie,158421100,0.9999999976702387
march,158281269,0.9999999976679077
yahoo,155733641,0.9999999976655745
going,155284081,0.9999999976632388
study,152978354,0.9999999976609009
staff,151553180,0.9999999976585607
again,150781416,0.9999999976562182
april,149976767,0.9999999976538732
never,149556758,0.9999999976515259
users,149320234,0.9999999976491762
topic,149001702,0.9999999976468241
below,145701629,0.9999999976444698
party,144707500,0.999999997642113
login,144200144,0.999999997639754
legal,142048771,0.9999999976373926
above,141894620,0.9999999976350289
quote,139242226,0.9999999976326626
story,138433809,0.9999999976302942
rates,137089538,0.9999999976279232
young,136341684,0.99999999762555
field,135289140,0.9999999976231744
paper,134939426,0.9999999976207963
girls,132325396,0.999999997618416
night,130531484,0.9999999976160332
texas,129399241,0.999999997613648
poker,129054826,0.9999999976112606
issue,128427156,0.9999999976088705
range,128314924,0.9999999976064782
court,127719981,0.9999999976040834
audio,127014703,0.9999999976016865
light,126699632,0.9999999975992868
write,126645151,0.999999997596885
offer,126228968,0.9999999975944807
given,125542966,0.9999999975920739
files,125524478,0.9999999975896647
event,125515260,0.9999999975872533
china,124472054,0.9999999975848393
needs,123595776,0.999999997582423
might,123196001,0.999999997580004
month,123027963,0.9999999975775828
major,122592252,0.9999999975751592
areas,121986327,0.9999999975727332
space,121505269,0.9999999975703047
cards,121094522,0.9999999975678739
child,119747393,0.9999999975654406
enter,119394206,0.9999999975630047
share,119294241,0.9999999975605665
added,118410414,0.999999997558126
radio,113285624,0.9999999975556828
until,113090086,0.9999999975532372
color,112965658,0.9999999975507892
track,112385243,0.9999999975483389
least,111229798,0.999999997545886
trade,110086585,0.9999999975434306
david,109067044,0.9999999975409728
green,108287905,0.9999999975385125
close,107853068,0.9999999975360498
drive,107799371,0.9999999975335847
short,106755242,0.9999999975311169
means,105946662,0.9999999975286469
daily,105837757,0.9999999975261742
beach,105642682,0.9999999975236993
costs,101090970,0.9999999975212217
style,101024266,0.9999999975187417
front,100886343,0.9999999975162592
parts,100637505,0.9999999975137741
early,100013194,0.9999999975112868
miles,100012522,0.9999999975087968
sound,100010833,0.9999999975063043
works,98581698,0.9999999975038094
rules,97658641,0.9999999975013119
final,97649084,0.9999999974988119
adult,97583096,0.9999999974963094
thing,97451660,0.9999999974938045
cheap,97049762,0.9999999974912972
third,95489240,0.9999999974887872
gifts,95412416,0.9999999974862748
cover,94501729,0.9999999974837597
often,92551460,0.9999999974812421
watch,92006970,0.9999999974787221
deals,91189968,0.9999999974761997
words,90910143,0.9999999974736746
linux,90854231,0.9999999974711471
james,90535679,0.9999999974686169
heart,90249265,0.9999999974660843
error,89396475,0.999999997463549
clear,88447610,0.9999999974610114
makes,87829598,0.999999997458471
india,87391857,0.9999999974559284
taken,87019836,0.9999999974533829
known,86395556,0.9999999974508351
cases,86255673,0.9999999974482845
quick,85584600,0.9999999974457316
whole,85202530,0.9999999974431761
later,84857974,0.999999997440618
basic,84840226,0.9999999974380573
shows,84804638,0.9999999974354941
along,83444756,0.9999999974329283
among,83431590,0.9999999974303599
death,83216831,0.9999999974277891
speed,83135749,0.9999999974252156
brand,82807581,0.9999999974226395
stuff,81444510,0.9999999974200608
japan,81110725,0.9999999974174796
doing,80821946,0.9999999974148956
loans,80821333,0.9999999974123093
shoes,80755612,0.9999999974097205
entry,80717798,0.9999999974071287
notes,79958318,0.9999999974045346
force,79199815,0.9999999974019378
river,78843808,0.9999999973993385
album,77914316,0.9999999973967366
views,77333335,0.999999997394132
plans,77295630,0.9999999973915248
build,77203075,0.9999999973889151
types,77070740,0.9999999973863025
lines,76806341,0.9999999973836877
apply,76341478,0.99999999738107
asked,75532722,0.9999999973784497
cross,74230978,0.9999999973758269
weeks,73571749,0.9999999973732014
lower,72606927,0.9999999973705733
union,72603888,0.9999999973679425
names,71918906,0.9999999973653091
leave,70957750,0.9999999973626732
teens,70859771,0.9999999973600344
woman,70613606,0.9999999973573932
cable,70082598,0.9999999973547493
score,69315004,0.9999999973521028
shown,68755779,0.9999999973494536
flash,68391647,0.9999999973468017
ideas,67309657,0.9999999973441471
allow,67052567,0.9999999973414899
homes,66753480,0.99999999733883
super,66703287,0.9999999973361675
asian,66078353,0.9999999973335025
cause,65904680,0.9999999973308347
focus,65626732,0.9999999973281641
rooms,65453403,0.9999999973254909
voice,64600528,0.9999999973228151
comes,64256803,0.9999999973201366
brown,64112042,0.9999999973174554
forms,63561604,0.9999999973147715
glass,63559754,0.999999997312085
happy,63471922,0.9999999973093956
smith,63357901,0.9999999973067037
thank,63234550,0.999999997304009
prior,62949059,0.9999999973013116
sport,62683851,0.9999999972986118
ready,62667516,0.9999999972959088
round,61836702,0.9999999972932034
built,61502894,0.9999999972904954
blood,61348302,0.9999999972877844
earth,61059905,0.9999999972850708
nokia,61035236,0.9999999972823546
italy,60280461,0.9999999972796356
basis,59901425,0.9999999972769138
